연번,고유번호,위치번호,유형,시도,시군,동,도로명주소,지번주소,상세주소,위도,경도,사용자고유번호,등록일,사용유무,카메라유무,공공쓰레기통유무,헌옷수거함유무,일반쓰레기배출요일,일반쓰레기배출시간,음식물쓰레기배출요일,음식물쓰레기배출시간,재활용품배출요일,재활용품배출시간,미수거일,이미지고유번호
1,SOM_0000000000000001,DJ-US-0001,일반쓰레기,대전,유성구,장대동,,대전 유성구 장대동 251-3,장대교 옆,36.357235,127.333444,DOM_0000000000001381,2022-08-08 0:00,Y,N,N,Y,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025153
2,SOM_0000000000000002,DJ-US-006502,생활폐기물,대전,유성구,장대동,,대전 유성구 장대동 251-3,장대교 옆,36.357236,127.333445,DOM_0000000000001381,2022-08-08 0:00,Y,N,N,Y,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025154
3,SOM_0000000000000003,DJ-US-0002,일반쓰레기,대전,유성구,장대동,대전광역시 유성구 유성대로718번길 45,대전 유성구 장대동 194-12,장대동,36.357027,127.334261,DOM_0000000000001381,2022-08-08 0:00,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025155
4,SOM_0000000000000004,DJ-US-006503,생활폐기물,대전,유성구,장대동,대전광역시 유성구 유성대로718번길 45,대전 유성구 장대동 194-12,장대동,36.357028,127.334262,DOM_0000000000001381,2022-08-08 7:15,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025156
5,SOM_0000000000000005,DJ-US-0003,일반쓰레기,대전,유성구,장대동,,대전 유성구 장대동 199-8,흥농종묘 앞 전봇대,36.357331,127.333233,DOM_0000000000001381,2022-08-08 7:16,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025157
6,SOM_0000000000000006,DJ-US-0004,일반쓰레기,대전,유성구,장대동,대전광역시 유성구 유성대로718번길 33,대전 유성구 장대동 197-2,방앗간 앞 나무,36.357131,127.333653,DOM_0000000000001381,2022-08-08 7:18,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025158
7,SOM_0000000000000007,DJ-US-006504,재활용품,대전,유성구,장대동,대전광역시 유성구 유성대로718번길 33,대전 유성구 장대동 197-2,방앗간 앞 나무,36.357132,127.333654,DOM_0000000000001381,2022-08-08 7:18,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025159
8,SOM_0000000000000008,DJ-US-0005,음식물쓰레기,대전,유성구,장대동,,대전 유성구 장대동 11-7,장대동,36.356789,127.335314,DOM_0000000000001381,2022-08-08 7:19,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025160
9,SOM_0000000000000009,DJ-US-0006,일반쓰레기,대전,유성구,장대동,대전광역시 유성구 유성대로720번길 70,대전 유성구 장대동 11-52,장대동,36.357153,127.335869,DOM_0000000000001381,2022-08-08 7:21,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025161
10,SOM_0000000000000010,DJ-US-006505,재활용품,대전,유성구,장대동,대전광역시 유성구 유성대로720번길 70,대전 유성구 장대동 11-52,장대동,36.357154,127.33587,DOM_0000000000001381,2022-08-08 7:21,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025162
11,SOM_0000000000000011,DJ-US-0007,일반쓰레기,대전,유성구,장대동,대전광역시 유성구 유성대로720번길 60,대전 유성구 장대동 11-28,유성농자재가게 앞,36.357255,127.335336,DOM_0000000000001381,2022-08-08 7:21,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025163
12,SOM_0000000000000012,DJ-US-0008,일반쓰레기,대전,유성구,장대동,,대전 유성구 장대동 11-16,장대동,36.35712,127.336155,DOM_0000000000001381,2022-08-08 7:21,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025164
13,SOM_0000000000000013,DJ-US-006506,음식물쓰레기,대전,유성구,장대동,,대전 유성구 장대동 11-16,장대동,36.357121,127.336156,DOM_0000000000001381,2022-08-08 7:21,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025165
14,SOM_0000000000000014,DJ-US-0009,일반쓰레기,대전,유성구,장대동,대전광역시 유성구 유성대로720번길 71,대전 유성구 장대동 12-16,장대동,36.357395,127.335956,DOM_0000000000001381,2022-08-08 0:00,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025166
15,SOM_0000000000000015,DJ-US-006507,재활용품,대전,유성구,장대동,대전광역시 유성구 유성대로720번길 71,대전 유성구 장대동 12-16,장대동,36.357396,127.335957,DOM_0000000000001381,2022-08-08 7:22,Y,N,N,N,"일,월,화,수,목,금",19:00~24:00,"일,월,화,수,목,금",19:00~24:00,"일,수",19:00~24:00,설날 및 추석 당일,SOM_0000000000025167
